CompCode,POINT_X,POINT_Y
2,41353.7699,374469.2711
,,
2,41317.5082,374473.5208
,,
2,41266.9027,374476.0517
,,
2,41224.2934,374478.3951
,,
2,41182.4848,374478.9573
,,
2,41142.6958,374480.082
,,
2,41085.8599,374484.8315
,,
2,41072.7935,374484.8938
,,
2,41025.1099,374485.1122
,,
2,40966.696,374485.2993
,,
2,40927.9421,374489.5803
,,
2,40879.9383,374493.3299
,,
2,40831.7899,374496.642
,,
2,40785.7704,374500.8917
,,
2,40753.5437,374503.5476
,,
2,40745.9657,374502.4225
,,
2,40714.6962,374503.3911
,,
2,40674.1259,374505.0157
,,
2,40637.0752,374507.8904
,,
2,40589.6962,374512.9212
,,
2,40584.2119,374513.1087
,,
2,40547.0869,374514.3584
,,
2,40510.1768,374518.6394
,,
2,40475.3721,374519.6704
,,
2,40433.8331,374525.2637
,,
2,40406.2199,374526.0761
,,
2,40368.2277,374527.5132
,,
2,40332.8644,374529.3568
,,
2,40295.3802,374533.0127
,,
2,40255.1926,374534.1373
,,
2,40199.4192,374540.2931
,,
2,40152.3176,374543.5428
,,
2,40102.3958,374547.0736
,,
2,40038.31,374552.2919
,,
2,39989.6772,374556.6351
,,
2,39928.6578,374559.666
,,
2,39878.3491,374561.8532
,,
2,39839.228,374566.259
,,
2,39811.6344,374567.5714
,,
2,39786.3413,374568.6649
,,
2,39755.2282,374568.7584
,,
2,39719.7438,374571.5706
,,
2,39674.7711,374575.7889
,,
2,39626.6385,374577.7574
,,
2,39585.0916,374580.6007
,,
2,39550.0915,374585.3817
,,
2,39528.9743,374588.2878
,,
2,39493.8416,374590.475
,,
2,39454.2088,374592.631
,,
2,39448.0642,374593.3497
,,
2,39437.0604,374594.6308
,,
2,39413.994,374597.3181
,,
2,39384.4628,374601.2241
,,
2,39367.2088,374603.5053
,,
2,39319.1074,374601.9112
,,
2,39279.6269,374600.4421
,,
2,39273.0606,374600.0983
,,
2,39254.8183,374600.4731
,,
2,39245.0566,374600.5355
,,
2,39217.6778,374600.7229
,,
2,39178.4904,374596.1288
,,
2,39147.0647,374597.9097
,,
2,39122.8147,374597.097
,,
2,39083.7874,374595.378
,,
2,39044.8813,374594.5653
,,
2,39018.0141,374592.0026
,,
2,38981.1313,374590.846
,,
2,38950.7447,374588.877
,,
2,38917.7603,374584.7829
,,
2,38882.1433,374581.1576
,,
2,38874.9167,374582.1889
,,
2,38830.5574,374579.3448
,,
2,38815.073,374581.9696
,,
2,38788.2136,374584.9382
,,
2,38754.7605,374591.1254
,,
2,38713.8073,374604.7501
,,
2,38668.4596,374623.7497
,,
2,38604.8226,374666.3429
,,
2,38577.4592,374688.2177
,,
2,38545.0567,374718.2799
,,
2,38515.5095,374758.7171
,,
2,38488.724,374811.9981
,,
2,38461.54,374868.9352
,,
2,38442.4108,374917.6225
,,
2,38419.5275,374971.6223
,,
2,38397.2146,375023.4658
,,
2,38369.4563,375089.4343
,,
2,38353.0498,375130.5903
,,
2,38330.3306,375180.5901
,,
2,38306.7209,375227.9024
,,
2,38293.2793,375260.5584
,,
2,38275.7673,375298.3708
,,
2,38260.7007,375320.7768
,,
2,38253.2748,375333.3392
,,
2,38246.2787,375341.4642
,,
2,38234.5755,375357.7453
,,
2,38216.9425,375379.1515
,,
2,38208.501,375387.12
,,
2,38200.3135,375394.8701
,,
2,38189.5165,375405.0887
,,
2,38168.4539,375425.0885
,,
2,38142.9264,375447.932
,,
2,38119.3871,375469.4631
,,
2,38096.1761,375487.2754
,,
2,38087.6878,375493.8065
,,
2,38068.7151,375505.7125
,,
2,38050.2033,375517.3062
,,
2,38014.6876,375538.0247
,,
2,37973.5039,375553.2117
,,
2,37933.9101,375576.2427
,,
2,37895.0467,375597.2423
,,
2,37839.8199,375627.9294
,,
2,37792.9056,375658.6164
,,
2,37752.378,375691.3036
,,
2,37710.995,375733.4906
,,
2,37669.1627,375772.2091
,,
2,37627.1859,375810.4899
,,
2,37582.8263,375850.9896
,,
2,37548.6191,375881.3642
,,
2,37538.7558,375890.8329
,,
2,37530.3963,375898.8327
,,
2,37500.3219,375926.5512
,,
2,37474.517,375951.2073
,,
2,37449.8607,375975.3008
,,
2,37431.9504,375991.0819
,,
2,37428.2473,375994.9256
,,
2,37397.6768,376026.7379
,,
2,37370.0594,376051.5188
,,
2,37339.2193,376079.331
,,
2,37318.0863,376100.9559
,,
2,37306.9184,376112.2058
,,
2,37296.0784,376122.2994
,,
2,37276.6173,376138.6743
,,
2,37256.004,376157.4866
,,
2,37242.3437,376168.799
,,
2,37233.3984,376177.6426
,,
2,37226.8163,376184.1738
,,
2,37209.535,376202.1736
,,
2,37199.7146,376212.1111
,,
2,37185.5934,376226.4235
,,
2,37163.308,376246.7982
,,
2,37143.9485,376263.548
,,
2,37124.8196,376280.6104
,,
2,37106.8351,376296.7977
,,
2,37102.2531,376300.9226
,,
2,37098.0734,376305.6726
,,
2,37082.9326,376319.6412
,,
2,37078.124,376324.8599
,,
2,37068.7333,376335.0473
,,
2,37056.6081,376351.7035
,,
2,37045.0222,376367.0159
,,
2,37041.4752,376374.2346
,,
2,37036.2642,376384.8283
,,
2,37033.8266,376391.8907
,,
2,37030.4828,376401.547
,,
2,37029.342,376421.5469
,,
2,37030.3966,376436.2969
,,
2,37031.7754,376447.0782
,,
2,37032.6816,376454.1407
,,
2,37032.4042,376462.7657
,,
2,37032.1424,376474.2031
,,
2,37024.7087,376493.8905
,,
2,37011.5366,376514.2967
,,
2,37002.9818,376522.6716
,,
2,36990.6264,376530.6715
,,
2,36977.1889,376532.1401
,,
2,36962.7396,376538.39
,,
2,36947.0912,376543.6399
,,
2,36936.5794,376546.1085
,,
2,36927.7748,376545.3272
,,
2,36915.2279,376550.3584
,,
2,36909.7553,376550.6084
,,
2,36901.7943,376552.952
,,
2,36891.0677,376555.3894
,,
2,36885.1615,376558.2644
,,
2,36879.3958,376566.2643
,,
2,36876.9972,376580.9518
,,
2,36878.0517,376604.0143
,,
2,36879.4773,376624.2017
,,
2,36881.1257,376643.7955
,,
2,36883.0551,376668.0767
,,
2,36883.2347,376681.6079
,,
2,36883.9533,376692.8891
,,
2,36890.1642,376704.4517
,,
2,36891.7617,376720.6392
,,
2,36890.1482,376739.4516
,,
2,36888.6482,376748.6703
,,
2,36887.8005,376753.858
,,
2,36876.1168,376773.4202
,,
2,36856.2376,376802.2012
,,
2,36841.1085,376837.4199
,,
