DateTimeStartAms;PBmax_EP;alfaB_EP;Eopt_EP;Ek;KdTurb;Chl_Frrf_Recalc;XScanfish;YScanfish;TURBIDScanfish;CHFLYSIScanfish;SALNTTScanfish;meetpuntnaam;Kd;chla_lims;productionMgC;slopeRecalcChlFrrf;offsetCalcKdFromTurbiditeit;slopeCalcKdFromTurbiditeit;conversionEtoC;Chl
2021-10-14 09:05:48;5.635529711988309;0.03131343370089945;781.0997624622648;179.97163025358134;5.068588599999999;1.7378770499999998;  42223; 376288;35.91;1.6800000000000002;26.87;TERNZBI20;-999;;19.026414939029536;0.42439;0.81469;0.11846;5;4.095
2021-10-14 09:24:31;5.810881420127264;0.0286921242615654;897.3555056783482;202.52531207357285;1.7244628;1.73830144;  46054; 374495;7.68;0.91;25.03;TERNZBI20;-999;;53.023480312009895;0.42439;0.81469;0.11846;5;4.096
2021-10-14 09:43:14;6.532904165628172;0.030736519345044698;1999.9992420220929;212.5453468654185;1.5763878;1.67252099;  46240; 374409;6.430000000000001;1.04;25.3;TERNZBI20;-999;;55.924801737342975;0.42439;0.81469;0.11846;5;3.941
2021-10-14 10:01:57;4.14089176072165;0.024080618806975457;343.66905393491186;171.9595245418757;1.5124194;1.5452039899999999;  47113; 373695;5.89;0.8500000000000001;25.32;;;;50.038925052061586;0.42439;0.81469;0.11846;5;3.641
2021-10-14 10:18:37;3.9750239987335396;0.026470943370079915;466.5146663340687;150.1655586338682;1.5598033999999998;1.50021865;  50626; 374798;6.29;0.7899999999999999;24.82;;;;44.96224007982916;0.42439;0.81469;0.11846;5;3.535
2021-10-14 10:34:10;4.980436314659807;0.025540187456314516;744.2898540066716;195.00390602765336;1.6368024;1.5193162;  53443; 376716;6.94;0.8500000000000001;24.37;;;;44.00936188881629;0.42439;0.81469;0.11846;5;3.58
2021-10-14 10:52:53;5.673219462711747;0.024642975680072492;755.036812270166;230.21649399668027;2.0916888;1.63559906;  55574; 379831;10.78;0.98;23.55;;;;38.585877290223394;0.42439;0.81469;0.11846;5;3.854
2021-10-25 10:34:42;3.35151858400924;0.013819034464768098;517.6740479241581;242.52914286841118;2.520514;1.39836505;  59156; 383685;14.4;0.6799999999999999;20.32;;;;12.019169680192615;0.42439;0.81469;0.11846;5;3.295
2021-10-25 10:56:04;3.684574597252414;0.020681582772229676;437.1020136376763;178.15728311664327;2.1201192;1.78837946;  60674; 379887;11.02;0.58;18.34;;;;25.101553160436584;0.42439;0.81469;0.11846;5;4.214
2021-10-25 11:15:32;4.352141909209901;0.021632144253818344;566.6022240851426;201.18865047054655;2.2753018;1.77437459;  62404; 376875;12.33;0.59;17.16;;;;24.090025530952726;0.42439;0.81469;0.11846;5;4.181
2021-10-25 11:32:46;5.486121348005769;0.020309876606599823;1200.9235350530832;270.1208606172929;2.052597;1.8040818900000002;  65581; 376267;10.450000000000001;0.53;15.12;;;;25.013898860432846;0.42439;0.81469;0.11846;5;4.251
2021-10-25 11:51:03;3.340370019131492;0.014397548557653721;631.9225909032433;232.00963731813601;2.3890233999999997;1.5023406;  68993; 376927;13.29;0.58;14.98;;;;13.34201026478795;0.42439;0.81469;0.11846;5;3.54
2021-10-25 12:10:00;3.2811850464045165;0.015777554717893796;860.0694120461865;207.9653726494909;3.2419354;1.61650151;  72763; 378081;20.49;0.55;12.53;;;;10.585384301114813;0.42439;0.81469;0.11846;5;3.809
2021-10-25 12:29:19;2.9022932391955663;0.01239074423559196;1999.9963660054837;234.23074385304758;4.867206599999999;1.4425016099999999;  74146; 375050;34.21;0.6599999999999999;11.729999999999999;;;;4.729304766805584;0.42439;0.81469;0.11846;5;3.399
2021-08-17 14:29:46;11.33725534205436;0.030112714937408948;1007.5976633517181;376.4939616245003;1.9199218;3.6709735;  59512; 383604;9.33;0.93;18.22;;;;220.0909532843244;0.42439;0.81469;0.11846;5;8.65
2021-08-17 14:46:17;12.646439386490263;0.029735653696685384;1316.4430926726216;425.2954892294819;2.165134;3.7698563699999994;  61764; 381307;11.4;0.99;15.29;;;;196.2388799519469;0.42439;0.81469;0.11846;5;8.883
2021-08-17 15:05:00;12.967532328796375;0.03257614291336363;1642.9270341798756;398.0683767038834;2.159211;3.61368085;  64050; 379100;11.350000000000001;0.99;14.75;;;;200.04354630789553;0.42439;0.81469;0.11846;5;8.515
2021-08-17 15:23:43;12.043604365965972;0.027507445614266778;1261.0251028727896;437.8307071784062;1.7860619999999998;3.1982030399999997;  66167; 376344;8.2;0.8;12.59;;;;188.54013153968708;0.42439;0.81469;0.11846;5;7.536
2021-08-17 15:42:27;10.875501999660601;0.023659534802829063;1164.7916063032465;459.6667724151607;2.0016591999999997;2.9028275999999997;  69511; 377215;10.02;0.72;12.12;;;;133.70499836923545;0.42439;0.81469;0.11846;5;6.84
2021-08-17 16:01:10;12.986099964569295;0.027488296045466237;1430.9375868422758;472.42287928978953;4.01311;3.16043233;  72389; 378374;27;0.8500000000000001;10.28;;;;82.83917910388266;0.42439;0.81469;0.11846;5;7.447
2020-04-14 10:06:35;9.355953033305017;0.026062011021472126;847.7920193064556;358.9881466014567;2.1959336;2.9690324400000003;  60583; 383028;11.66;0.8300000000000001;17.779999999999998;;;;324.73462044198516;0.42439;0.81469;0.11846;5;6.996
2020-04-14 10:24:45;8.666021208265732;0.021309285628256746;799.9103806827469;406.6781664784825;2.2776710000000002;2.6172131299999997;  62450; 380466;12.350000000000001;0.8200000000000001;15.28;;;;243.99258421828654;0.42439;0.81469;0.11846;5;6.167
2020-04-14 10:46:07;9.305732609157186;0.019237273515142324;922.7411082802091;483.7344856500752;2.8557558000000003;2.5633156;  64916; 377821;17.23;0.8400000000000001;14.350000000000001;;;;179.36353625723413;0.42439;0.81469;0.11846;5;6.04
2020-04-14 11:05:51;13.858622144613017;0.02420452385461778;1999.9989223878256;572.5633037796381;1.987444;2.53573025;  67613; 376401;9.9;0.71;13.49;;;;288.573676683932;0.42439;0.81469;0.11846;5;5.975
2020-04-14 11:22:24;14.209350747617771;0.024127909670949067;1851.8757445641722;588.9176037792605;2.8024487999999996;2.8094618;  70478; 377871;16.779999999999998;0.72;12.81;;;;231.05076618836597;0.42439;0.81469;0.11846;5;6.62
2020-04-14 11:40:40;12.445343563755442;0.021020332507131055;1999.999842465081;592.06216455108;2.7432187999999997;2.57816925;  73091; 377571;16.279999999999998;0.69;9.32;;;;186.65235513493303;0.42439;0.81469;0.11846;5;6.075
2020-04-14 11:59:34;;;;;3.4895167999999996;2.52978879;  74475; 374748;22.58;0.6799999999999999;8.77;;;;;0.42439;0.81469;0.11846;5;5.961
2020-04-14 12:18:34;;;;;4.1090626;0.75796054;  75759; 373865;27.810000000000002;0.73;8.28;;;;;0.42439;0.81469;0.11846;5;1.786
2020-04-14 12:35:56;3183.890195407537;1.2608494726775089e-16;6.9377463547422025;25251945330526302e3;4.1090626;0.73886299;  75759; 373865;27.810000000000002;0.73;8.28;;;;1.2716335547904806e-10;0.42439;0.81469;0.11846;5;1.741
