gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;unit;method;value
Westerschelde;1;1991-06-06T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0360020149664025
Westerschelde;1;1991-06-06T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;2.73
Westerschelde;1;1991-06-06T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;750.2741757960285
Westerschelde;1;1991-06-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;485.03015597452
Westerschelde;1;1991-06-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.287
Westerschelde;1;1991-06-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;16.4102949412926
Westerschelde;1;1991-06-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0580847436796432
Westerschelde;1;1991-06-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;5.35
Westerschelde;1;1991-06-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;2519.388048111595
Westerschelde;1;1991-07-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;498.06590296781
Westerschelde;1;1991-07-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.085
Westerschelde;1;1991-07-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;9.950963415664
Westerschelde;1;1991-07-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0289556204222713
Westerschelde;1;1991-07-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;4.67
Westerschelde;1;1991-07-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;730.2432132172482
Westerschelde;1;1991-07-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;487.453635658953
