gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;3;2020-04-30T08:44:01Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.91;PSU
Westerschelde;3;2020-04-30T08:44:01Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;4;2020-05-11T08:47:33Z;59542;59542;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;16.54;NTU
Westerschelde;4;2020-05-11T08:47:33Z;59542;59542;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;6.1;ug/l
Westerschelde;4;2020-05-11T08:47:33Z;59542;59542;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;21.3;PSU
Westerschelde;4;2020-05-11T08:47:33Z;59542;59542;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.8;/m
Westerschelde;5;2020-05-11T09:06:16Z;61524;61524;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;17.85;NTU
Westerschelde;5;2020-05-11T09:06:16Z;61524;61524;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;5.9;ug/l
Westerschelde;5;2020-05-11T09:06:16Z;61524;61524;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;19.78;PSU
Westerschelde;5;2020-05-11T09:06:16Z;61524;61524;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.9;/m
Westerschelde;5;2020-05-11T09:24:59Z;63691;63691;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;15.74;NTU
Westerschelde;5;2020-05-11T09:24:59Z;63691;63691;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;5.1;ug/l
Westerschelde;5;2020-05-11T09:24:59Z;63691;63691;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;17.72;PSU
Westerschelde;5;2020-05-11T09:24:59Z;63691;63691;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.7;/m
Westerschelde;5;2020-05-11T09:43:42Z;65479;65479;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.51;NTU
Westerschelde;5;2020-05-11T09:43:42Z;65479;65479;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;4.7;ug/l
Westerschelde;5;2020-05-11T09:43:42Z;65479;65479;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;17.26;PSU
Westerschelde;5;2020-05-11T09:43:42Z;65479;65479;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;5;2020-05-11T10:02:25Z;67630;67630;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;11.72;NTU
Westerschelde;5;2020-05-11T10:02:25Z;67630;67630;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;4.5;ug/l
Westerschelde;5;2020-05-11T10:02:25Z;67630;67630;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;15.6;PSU
Westerschelde;5;2020-05-11T10:02:25Z;67630;67630;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.2;/m
Westerschelde;6;2020-05-11T10:21:08Z;70142;70142;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;17.19;NTU
Westerschelde;6;2020-05-11T10:21:08Z;70142;70142;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;4.4;ug/l
Westerschelde;6;2020-05-11T10:21:08Z;70142;70142;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;14.55;PSU
Westerschelde;6;2020-05-11T10:21:08Z;70142;70142;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.9;/m
Westerschelde;6;2020-05-11T10:39:51Z;72803;72803;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;16.56;NTU
Westerschelde;6;2020-05-11T10:39:51Z;72803;72803;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;4.1;ug/l
