gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;value;method;unit
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;11.8;scanfish;ug/l
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;9.89607090420517;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.0328854942288411;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;575.5010865158;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;2.572;scanfish;/m
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;1042;14C incubation;mg C/m2/d
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;8.91;scanfish;ug/l
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;7.7267384058476;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.0223581573790107;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;530.568337720116;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-05-08T11:15:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;1.129;scanfish;/m
