X_RD;Y_RD;datetime;compartiment;parameter;value;gebied;source;license;method;date_added;script;unit
75391;374070;2016-05-03T18:09:00Z;9;turbidity;33.3;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
75391;374070;2016-05-03T18:09:00Z;9;O2;9.397142857;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
75391;374070;2016-05-03T18:09:00Z;9;perc_O2;89.71428571;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
75391;374070;2016-05-03T18:09:00Z;9;salinity;7.711428571;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
59808;383409;2016-05-31T14:46:00Z;5;chlfa;7.197;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
59808;383409;2016-05-31T14:46:00Z;5;turbidity;39.77157895;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
59808;383409;2016-05-31T14:46:00Z;5;O2;9.384736842;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
59808;383409;2016-05-31T14:46:00Z;5;perc_O2;106;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
59808;383409;2016-05-31T14:46:00Z;5;salinity;16.83315789;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
61644;381244;2016-05-31T15:02:00Z;5;chlfa;6.952;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
61644;381244;2016-05-31T15:02:00Z;5;turbidity;16.99473684;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
61644;381244;2016-05-31T15:02:00Z;5;O2;9.210526316;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
61644;381244;2016-05-31T15:02:00Z;5;perc_O2;103.2631579;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
61644;381244;2016-05-31T15:02:00Z;5;salinity;15.56263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
63310;379623;2016-05-31T15:14:00Z;5;chlfa;7.723;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
63310;379623;2016-05-31T15:14:00Z;5;turbidity;16.44105263;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
63310;379623;2016-05-31T15:14:00Z;5;O2;9.211052632;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
63310;379623;2016-05-31T15:14:00Z;5;perc_O2;103.4736842;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
