latitude longitude stationname datetime depth parametername parameterunit value
51.43701537 4.01438853 "Hansweert geul" 1998-07-13T09:45:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 6.58
51.43701537 4.01438853 "Hansweert geul" 1998-07-27T08:09:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 16.2
51.43701537 4.01438853 "Hansweert geul" 1998-08-10T08:41:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 15
51.43701537 4.01438853 "Hansweert geul" 1998-08-24T07:55:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5.62
51.43701537 4.01438853 "Hansweert geul" 1998-09-14T11:44:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.84
51.43701537 4.01438853 "Hansweert geul" 1998-09-28T10:59:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.94
51.43701537 4.01438853 "Hansweert geul" 1998-10-12T11:07:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.8
51.43701537 4.01438853 "Hansweert geul" 1998-11-09T10:19:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.28
51.43701537 4.01438853 "Hansweert geul" 1998-12-07T10:16:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.94
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-01-06T15:42:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-01-19T14:00:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-02-02T13:57:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-02-16T13:15:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-03-02T11:49:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-03-16T12:29:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-03-30T11:37:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-04-14T11:51:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-04-27T10:25:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-05-25T09:56:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 7
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-06-15T13:39:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 6
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-07-13T12:42:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-07-27T11:48:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 6
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-08-10T10:56:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-08-24T11:05:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 7
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-09-14T14:11:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-09-28T14:32:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-10-12T14:42:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-10-26T12:49:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 5
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-11-09T13:57:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
