FID,id,latitude,longitude,depth,datetime,value,standardparameterid,dataproviderid,imisdatasetid,parametername,parameterunit,dataprovider,stationname,unit,valuesign
abiotic_observations.fid--3256cea3_182c573e9e4_-2ddf,187595431,51.35118367,4.2509326,-1,2018-08-06T17:40:00Z,0.0318,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dde,187595432,51.35118367,4.2509326,-1,2018-08-20T18:03:00Z,0.108,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2ddd,187595433,51.35118367,4.2509326,-1,2018-09-03T14:44:00Z,0.0972,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2ddc,187595434,51.35118367,4.2509326,-1,2018-09-17T16:12:00Z,0.072,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2ddb,187595435,51.35118367,4.2509326,-1,2018-10-01T14:27:00Z,0.217,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dda,187595436,51.35118367,4.2509326,-1,2018-10-15T14:46:00Z,0.162,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd9,187595437,51.35118367,4.2509326,-1,2018-10-29T12:36:00Z,0.186,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd8,187595438,51.35118367,4.2509326,-1,2018-11-13T13:33:00Z,0.19,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd7,187595439,51.35118367,4.2509326,-1,2018-11-26T12:31:00Z,0.151,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd6,187595440,51.35118367,4.2509326,-1,2018-12-10T12:26:00Z,0.127,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd5,187595441,51.35118367,4.2509326,-1,2018-12-17T15:37:00Z,0.095,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd4,187595442,51.35118367,4.2509326,-1,2019-01-09T12:52:00Z,0.44,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd3,187595443,51.35118367,4.2509326,-1,2019-01-24T13:18:00Z,0.31,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd2,187595444,51.35118367,4.2509326,-1,2019-02-05T11:25:00Z,0.17,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd1,187595445,51.35118367,4.2509326,-1,2019-02-21T12:15:00Z,0.2,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dd0,187595446,51.35118367,4.2509326,-1,2019-03-06T11:15:00Z,0.074,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dcf,187595447,51.35118367,4.2509326,-1,2019-03-18T20:27:00Z,0.058,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dce,187595448,51.35118367,4.2509326,-1,2019-04-04T12:33:00Z,0.048,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dcd,187595449,51.35118367,4.2509326,-1,2019-04-18T11:59:00Z,0.089,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
