datetime,X_RD,Y_RD,latitude,longitude
2018-02-20T09:11:34Z,65189,376979,4.097528848504752,51.37573981561196
2018-02-20T09:12:04Z,65232,376890,4.098168980953812,51.374946725580294
2018-02-20T09:12:34Z,65276,376805,4.098822436748147,51.37418974244315
2018-02-20T09:13:04Z,65324,376726,4.099531791203408,51.37348731805977
2018-02-20T09:13:34Z,65387,376641,4.1004580495741365,51.372733341259654
2018-02-20T09:14:04Z,65450,376573,4.10137997200288,51.37213215179184
2018-02-20T09:14:34Z,65518,376514,4.102371392446183,51.371612638294096
2018-02-20T09:15:04Z,65587,376467,4.1033741159249875,51.371201129781035
2018-02-20T09:15:34Z,65654,376423,4.104347343921206,51.37081626010724
2018-02-20T09:16:04Z,65719,376389,4.105289311577614,51.3705209456222
2018-02-20T09:16:34Z,65787,376363,4.106272327577198,51.370298000767015
2018-02-20T09:17:04Z,65856,376339,4.107269189402089,51.37009318126505
2018-02-20T09:17:34Z,65927,376316,4.108294509409755,51.36989765646991
2018-02-20T09:18:04Z,65998,376298,4.109318562337922,51.369747062395206
2018-02-20T09:18:34Z,66067,376280,4.110313889812116,51.369596144487275
2018-02-20T09:19:04Z,66140,376273,4.111363884186344,51.36954471474299
2018-02-20T09:19:34Z,66211,376281,4.112381391509959,51.36962778068248
2018-02-20T09:20:04Z,66287,376294,4.113469445509687,51.36975656269372
2018-02-20T09:20:34Z,66365,376306,4.114586475362897,51.36987666036124
2018-02-20T09:21:04Z,66436,376316,4.115603495308772,51.36997767415062
2018-02-20T09:21:34Z,66507,376324,4.116621020307658,51.3700607031285
2018-02-20T09:22:04Z,66581,376333,4.117681377826458,51.37015318071856
2018-02-20T09:22:34Z,66661,376341,4.118828147299626,51.37023759887545
2018-02-20T09:23:04Z,66734,376350,4.119874153907708,51.37032990018182
2018-02-20T09:23:34Z,66810,376357,4.12096374267865,51.37040468443311
2018-02-20T09:24:04Z,66894,376366,4.122167714542416,51.37049868212308
2018-02-20T09:24:34Z,66972,376374,4.123285781853147,51.37058274457123
2018-02-20T09:25:04Z,67057,376382,4.124504371877144,51.37066788596534
2018-02-20T09:25:34Z,67139,376393,4.125679141715609,51.370779512096185
2018-02-20T09:26:04Z,67219,376404,4.126825197663145,51.37089081565899
2018-02-20T09:26:34Z,67305,376416,4.128057170745326,51.37101202733984
2018-02-20T09:27:04Z,67388,376427,4.129246318376052,51.37112377278858
2018-02-20T09:27:34Z,67483,376441,4.130607049357179,51.37126432918697
2018-02-20T09:28:04Z,67567,376455,4.131809828285013,51.3714031674696
2018-02-20T09:28:34Z,67655,376471,4.133069561007471,51.371560587836626
2018-02-20T09:29:04Z,67738,376487,4.134257501726053,51.371717222341744
2018-02-20T09:29:34Z,67825,376512,4.135500672737696,51.37195535424316
2018-02-20T09:30:04Z,67919,376538,4.136844132798304,51.372203539981385
2018-02-20T09:30:34Z,68002,376561,4.138030381220864,51.37242305233984
2018-02-20T09:31:04Z,68091,376587,4.139302066609766,51.37267043983128
2018-02-20T09:31:34Z,68181,376614,4.140587880912417,51.37292695521001
2018-02-20T09:32:04Z,68275,376644,4.141930416558565,51.37321103465274
2018-02-20T09:32:34Z,68367,376673,4.143244492533098,51.37348580392955
2018-02-20T09:33:04Z,68455,376703,4.144500896267835,51.3737689337076
2018-02-20T09:33:34Z,68549,376735,4.145842992332803,51.37407094433114
2018-02-20T09:34:04Z,68648,376769,4.1472564230572395,51.37439167999101
2018-02-20T09:34:34Z,68742,376804,4.148597823963515,51.37472062317781
2018-02-20T09:35:04Z,68832,376843,4.149880824296109,51.37508489310956
2018-02-20T09:35:34Z,68922,376889,4.151162140859677,51.375512065457166
2018-02-20T09:36:04Z,69009,376939,4.152399423836632,51.375974719398464
2018-02-20T09:36:34Z,69105,376996,4.153764286741141,51.376501645413136
2018-02-20T09:37:04Z,69197,377048,4.155072947139237,51.37698300755579
2018-02-20T09:37:34Z,69285,377101,4.156323944483277,51.37747273619494
2018-02-20T09:38:04Z,69376,377158,4.157617086527336,51.377998858589876
2018-02-20T09:38:34Z,69471,377216,4.158967466131202,51.378534560507134
2018-02-20T09:39:04Z,69565,377270,4.1603044817318455,51.379034143243665
2018-02-20T09:39:34Z,69658,377321,4.161627888278257,51.37950659534594
2018-02-20T09:40:04Z,69757,377377,4.163036293766439,51.38002487855114
2018-02-20T09:40:34Z,69848,377431,4.164330308622726,51.38052396257998
2018-02-20T09:41:04Z,69941,377485,4.165653078303784,51.381023333524446
2018-02-20T09:41:34Z,70028,377541,4.166889215836404,51.38153976309798
2018-02-20T09:42:04Z,70123,377602,4.168239089094422,51.38210232251102
2018-02-20T09:42:34Z,70212,377660,4.169503532896642,51.38263700130563
2018-02-20T09:43:04Z,70296,377714,4.170697145507214,51.38313496411117
2018-02-20T09:43:34Z,70396,377778,4.172118215338372,51.38372519309555
2018-02-20T09:44:04Z,70482,377832,4.173340613593627,51.38422342859582
2018-02-20T09:44:34Z,70579,377893,4.174719374993962,51.384786212700895
2018-02-20T09:45:04Z,70669,377949,4.175998811332242,51.38530299467045
2018-02-20T09:45:34Z,70767,378010,4.177392003079704,51.38586589666958
2018-02-20T09:46:04Z,70861,378070,4.178728007470117,51.38641919800963
2018-02-20T09:46:34Z,70955,378132,4.18006356859775,51.386990460406885
2018-02-20T09:47:04Z,71042,378189,4.18129979390732,51.38751572616369
2018-02-20T09:47:34Z,71144,378256,4.182749156907367,51.38813308806371
2018-02-20T09:48:04Z,71240,378294,4.184119240066637,51.388488885697676
2018-02-20T09:48:34Z,71338,378314,4.185522338701403,51.388683176826085
2018-02-20T09:49:04Z,71436,378328,4.186926868576407,51.38882352215048
2018-02-20T09:49:34Z,71545,378341,4.188489667492683,51.38895648825505
2018-02-20T09:50:04Z,71647,378354,4.189951914605654,51.38908840018232
2018-02-20T09:50:34Z,71739,378365,4.191270982514294,51.38920084302734
2018-02-20T09:51:04Z,71842,378379,4.192747376348729,51.38934185555781
2018-02-20T09:51:34Z,71937,378393,4.194108851377849,51.38948167265823
2018-02-20T09:52:04Z,72028,378405,4.195413340360798,51.38960290976995
2018-02-20T09:52:34Z,72117,378406,4.196691684898878,51.389624968715914
2018-02-20T09:53:04Z,72199,378387,4.197874155758087,51.389466223476596
2018-02-20T09:53:34Z,72272,378355,4.198930368857912,51.3891893012438
2018-02-20T09:54:04Z,72349,378322,4.200044266565641,51.388903966696716
2018-02-20T09:54:34Z,72429,378290,4.201201014003219,51.388628048342476
2018-02-20T09:55:04Z,72515,378257,4.20244417513101,51.38834400673489
2018-02-20T09:55:34Z,72596,378230,4.203614093457347,51.388113151411225
2018-02-20T09:56:04Z,72666,378185,4.204630173575655,51.387718892861336
2018-02-20T09:56:34Z,72724,378122,4.205478043165069,51.38716108937807
2018-02-20T09:57:04Z,72774,378056,4.206211668926894,51.386575150209154
2018-02-20T09:57:34Z,72821,377993,4.206901483214472,51.38601573442545
2018-02-20T09:58:04Z,72873,377920,4.20766542875583,51.38536715950073
2018-02-20T09:58:34Z,72926,377846,4.208443949380298,51.384709736592704
2018-02-20T09:59:04Z,72979,377775,4.209221751229983,51.384079273050475
2018-02-20T09:59:34Z,73024,377705,4.209884386178485,51.38345663129253
2018-02-20T10:00:04Z,73064,377627,4.210477037864317,51.382761354531404
2018-02-20T10:00:34Z,73093,377546,4.2109123654991585,51.38203751484282
2018-02-20T10:01:04Z,73114,377470,4.211231612716137,51.38135745477577
2018-02-20T10:01:34Z,73139,377388,4.211609693256,51.38062404417616
2018-02-20T10:02:04Z,73162,377314,4.211957183132662,51.37996224833223
2018-02-20T10:02:34Z,73192,377244,4.212404277255458,51.379337418222875
2018-02-20T10:03:04Z,73228,377168,4.2129389232916825,51.378659525606174
2018-02-20T10:03:34Z,73260,377104,4.213413328649574,51.37808891043409
2018-02-20T10:04:04Z,73289,377034,4.213846022019509,51.37746392990107
2018-02-20T10:04:34Z,73314,376962,4.214221717167361,51.37682039280182
2018-02-20T10:05:04Z,73342,376883,4.214642104269667,51.37611437045776
2018-02-20T10:05:34Z,73369,376809,4.215046962129935,51.375453143219076
2018-02-20T10:06:04Z,73396,376731,4.215452731455741,51.374755961553184
2018-02-20T10:06:34Z,73418,376656,4.215785989846433,51.37408502108042
2018-02-20T10:07:04Z,73437,376585,4.216075232501504,51.373449599442
