date;STN;PPFD_24h;DLI_mol;hours_day;PPFD_daylight
1990-05-28;310;664.3645833333334;57.4011;15.92816894533033;1001.0409893771582
1990-05-29;310;580.2708333333334;50.1354;15.963784621162127;872.3808501862752
1990-05-30;310;608.5416666666666;52.578;15.998144101964034;912.9183927157524
1990-05-31;310;547.2083333333333;47.27879999999999;16.031219618549915;819.2140281581351
1990-06-01;310;541.4583333333334;46.782;16.062983901890643;809.0028651818834
1990-06-02;310;517.7395833333333;44.732699999999994;16.093410257542445;772.1017361237319
1990-06-03;310;221.85416666666663;19.168199999999995;16.1224726410276;330.25331278593694
1990-06-04;310;581.2291666666666;50.2182;16.150145733792804;863.7383358598344
1990-06-05;310;422.86458333333337;36.5355;16.17640501934393;627.3798157170279
1990-06-06;310;303.5520833333333;26.2269;16.20122685913216;449.67273548752985
1990-06-07;310;314.5729166666666;27.17909999999999;16.224588567745776;465.32767031200905
1990-06-08;310;564.4583333333333;48.76919999999999;16.24646848694477;833.842752404069
1990-06-09;310;258.9895833333333;22.3767;16.266846058062747;382.1115647012059
1990-06-10;310;156.92708333333334;13.5585;16.285701892292266;231.2611409019159
1990-06-11;310;155.01041666666666;13.3929;16.303017838366884;228.19394770242533
1990-06-12;310;204.12499999999997;17.636399999999995;16.318777047155272;300.2063197409762
1990-06-13;310;227.60416666666666;19.665;16.33296403269096;334.44633742330103
1990-06-14;310;258.2708333333333;22.3146;16.345564729175152;379.2160199235157
1990-06-15;310;191.90624999999997;16.580699999999997;16.356566543509814;281.58415690409873
1990-06-16;310;642.0833333333331;55.475999999999985;16.365958402943964;941.5886085368513
1990-06-17;310;640.40625;55.3311;16.373730797447553;938.6834430181262
1990-06-18;310;325.59375;28.1313;16.37987581646411;477.0640563798148
1990-06-19;310;385.7291666666666;33.32699999999999;16.38438717973522;565.0196066808038
1990-06-20;310;410.40624999999994;35.45909999999999;16.387260261936305;601.0614247018837
1990-06-21;310;373.27083333333337;32.250600000000006;16.388492110913475;546.633573081097
1990-06-22;310;295.40625;25.5231;16.388081459364532;432.616228908769
1990-06-23;310;474.6145833333333;41.0067;16.386028729863277;695.150129893312
1990-06-24;310;585.5416666666666;50.5908;16.38233603318354;857.8141707955866
1990-06-25;310;418.31249999999994;36.142199999999995;16.37700715993746;613.0240954256466
1990-06-26;310;489.7083333333333;42.3108;16.37004756560038;717.9575962074459
1990-06-27;310;300.6770833333333;25.9785;16.361464349051545;441.0515981974632
1990-06-28;310;682.3333333333334;58.9536;16.351266224814452;1001.5126519772525
1990-06-29;310;524.6875;45.333;16.339463489232738;770.680139424291
1990-06-30;310;297.0833333333333;25.668;16.326067980865805;436.72487511116447
1990-07-01;310;258.03125;22.2939;16.311093035432712;379.66493027459546
1990-07-02;310;601.59375;51.9777;16.29455343567218;886.0782872632553
1990-07-03;310;521.5729166666666;45.0639;16.276465356520795;769.070539936673
1990-07-04;310;266.65625;23.0391;16.25684630603997;393.6649138167884
1990-07-05;310;255.39583333333331;22.0662;16.23571506254519;377.5318781086757
1990-07-06;310;394.83333333333326;34.11359999999999;16.213091608407737;584.4659506571813
1990-07-07;310;124.34374999999999;10.743299999999998;16.18899706101018;184.3381642947673
1990-07-08;310;217.06249999999997;18.754199999999997;16.163453601341928;322.3011695698185
1990-07-09;310;438.67708333333337;37.9017;16.136484400720917;652.4500466489242
1990-07-10;310;410.16666666666663;35.4384;16.10811354612165;611.1205990579908
1990-07-11;310;698.3854166666665;60.340499999999984;16.07836596457937;1042.472228640959
1990-07-12;310;668.1979166666665;57.73229999999999;16.047267347125107;999.3446019875156
1990-07-13;310;687.6041666666665;59.408999999999985;16.01484407268741;1030.4502451038072
1990-07-14;310;714.1979166666667;61.706700000000005;15.981123132374249;1072.5622885212995
1990-07-15;310;693.3541666666665;59.905799999999985;15.946132054523401;1043.544600226713
1990-07-16;310;541.9375;46.8234;15.909898830882003;817.5099124297168
1990-07-17;310;642.3229166666666;55.4967;15.872451844246807;971.2267613895867
1990-07-18;310;579.0729166666666;50.0319;15.833819797865987;877.7256642691536
1990-07-19;310;658.8541666666666;56.925;15.794031646872128;1001.1693248146385
1990-07-20;310;616.9270833333334;53.3025;15.753116531984592;939.8933836322415
1990-07-21;310;574.0416666666667;49.59720000000001;15.71110371568772;876.8957451565612
1990-07-22;310;562.3020833333334;48.5829;15.668022521060841;861.324393800161
1990-07-23;310;541.6979166666667;46.80270000000001;15.623902273405669;832.106459224935
1990-07-24;310;454.4895833333333;39.2679;15.578772244788155;700.1674989920444
1990-07-25;310;371.59374999999994;32.1057;15.532661601584053;574.1610954229826
1990-07-26;310;606.625;52.4124;15.485599355091857;940.1638041999853
1990-07-27;310;404.65624999999994;34.96229999999999;15.437614315252297;629.0965560918846
1990-07-28;310;324.15625;28.0071;15.388735047491625;505.5483752232192
1990-07-29;310;641.6041666666666;55.4346;15.338989832685108;1003.8796666510649
1990-07-30;310;610.21875;52.7229;15.288406630218898;957.931742281917
1990-07-31;310;620.7604166666666;53.6337;15.237013044111793;977.7670962720148
1990-08-01;310;587.21875;50.7357;15.18483629214374;928.1133973957626
1990-08-02;310;620.5208333333334;53.613;15.13190317792511;984.178911594256
1990-08-03;310;555.59375;48.0033;15.078240065829732;884.3372927997109
1990-08-04;310;525.6458333333334;45.4158;15.023872858705476;839.6969355800983
1990-08-05;310;443.46874999999994;38.31569999999999;14.96882697826823;711.0276587104578
1990-08-06;310;386.20833333333337;33.3684;14.91312734807918;621.5329476948276
1990-08-07;310;484.67708333333326;41.876099999999994;14.856798379000175;782.9580575342518
1990-08-08;310;582.1875;50.301;14.79986395701868;944.0965160611283
1990-08-09;310;539.5416666666666;46.6164;14.742347433331368;878.3540110256293
1990-08-10;310;457.60416666666663;39.537;14.684271616573962;747.9090748773799
1990-08-11;310;546.9687499999999;47.25809999999999;14.62565876708475;897.5493144652778
1990-08-12;310;437.95833333333337;37.8396;14.566530593089462;721.5856880145877
1990-08-13;310;540.4999999999999;46.69919999999999;14.506908248696579;894.1946676450173
1990-08-14;310;451.6145833333333;39.0195;14.446812333593831;750.2520105972554
1990-08-15;310;240.78124999999997;20.803499999999996;14.386262894339067;401.6852772983811
1990-08-16;310;497.37499999999994;42.97319999999999;14.325279427141439;833.2821751025338
1990-08-17;310;454.96874999999994;39.30929999999999;14.263880882032247;765.5174696358147
1990-08-18;310;242.21874999999997;20.927699999999998;14.20208566832809;409.32368215212654
1990-08-19;310;161.47916666666666;13.9518;14.139911661292825;274.08233465905965
1990-08-20;310;355.0625;30.6774;14.077376209908884;605.3329734842083
1990-08-21;310;365.6041666666667;31.5882;14.014496145672418;626.101709886267
1990-08-22;310;428.37500000000006;37.01160000000001;13.9512877923311;736.921218530907
1990-08-23;310;479.40624999999994;41.42069999999999;13.887766976487375;828.480922777561
1990-08-24;310;479.40624999999994;41.42069999999999;13.823949038994586;832.3055855851744
1990-08-25;310;393.39583333333337;33.9894;13.759848847077025;686.1630607232751
1990-08-26;310;472.93749999999994;40.861799999999995;13.695480807109877;828.7770367366362
1990-08-27;310;452.33333333333326;39.081599999999995;13.630858877998229;796.4281706065367
1990-08-28;310;438.67708333333337;37.9017;13.565996585099107;776.0764153194784
1990-08-29;310;358.4166666666667;30.9672;13.500907034633798;637.1423770220282
1990-08-30;310;357.21875000000006;30.863700000000005;13.435602928541808;638.0993875449751
1990-08-31;310;236.70833333333331;20.4516;13.370096579731296;424.90343776665327
1990-09-01;310;359.375;31.05;13.30439992768422;648.2817749677552
1990-09-02;310;297.3229166666667;25.6887;13.238524554377996;539.0139943986582
1990-09-03;310;472.69791666666663;40.8411;13.172481700488309;861.2462144911877
1990-09-04;310;370.39583333333337;32.0022;13.106282281841127;678.2625163137593
1990-09-05;310;377.34374999999994;32.6025;13.039936906084316;694.5010597232595
1990-09-06;310;170.10416666666663;14.696999999999996;12.973455889552518;314.68099439006244
1990-09-07;310;232.87499999999997;20.120399999999997;12.906849274300967;433.0258982049435
1990-09-08;310;213.94791666666663;18.485099999999996;12.840126845286644;399.89869740927554
1990-09-09;310;268.09375;23.1633;12.773298147677174;503.7265963427049
1990-09-10;310;213.22916666666663;18.422999999999995;12.706372504269963;402.7506669020028
1990-09-11;310;239.10416666666663;20.658599999999996;12.63935903300615;454.0182761653185
1990-09-12;310;219.45833333333331;18.9612;12.572266664565289;418.93797996227255
1990-09-13;310;408.96875000000006;35.334900000000005;12.505104160028775;784.8994997877263
1990-09-14;310;373.98958333333337;32.31270000000001;12.437880128600963;721.6462859583462
1990-09-15;310;216.10416666666669;18.6714;12.370603045378655;419.26007818491485
1990-09-16;310;243.89583333333331;21.0726;12.303281269160488;475.7673885479993
1990-09-17;310;97.74999999999999;8.445599999999999;12.235923060288954;191.7305289058101
1990-09-18;310;139.19791666666666;12.0267;12.168536598518461;274.5399968971406
1990-09-19;310;129.61458333333331;11.198699999999999;12.101130000903819;257.0627701518504
1990-09-20;310;92.71874999999999;8.0109;12.033711339703942;184.9180138348529
1990-09-21;310;265.6979166666667;22.9563;11.966288660296064;532.892877735596
1990-09-22;310;76.42708333333334;6.603300000000001;11.898869999096185;154.153293559752
1990-09-23;310;166.9895833333333;14.427899999999996;11.831463401481543;338.7366265696386
1990-09-24;310;297.5625;25.7094;11.76407693971105;607.0599535007301
1990-09-25;310;208.19791666666669;17.9883;11.696718730839518;427.19245584880065
1990-09-26;310;201.48958333333334;17.4087;11.629396954621356;415.82121746032084
1990-09-27;310;260.1875;22.4802;11.56211987139904;540.0826206141386
1990-09-28;310;306.6666666666667;26.496;11.494895839971221;640.2841837337106
1990-09-29;310;136.5625;11.799;11.42773333543471;286.8022821146206
1990-09-30;310;113.80208333333333;9.8325;11.360640966993854;240.4133717397741
1990-10-01;310;268.09375;23.1633;11.293627495730039;569.7239440943753
1990-10-02;310;271.4479166666667;23.4531;11.226701852322828;580.2906397351315
1990-10-03;310;195.02083333333334;16.8498;11.159873154713354;419.4044085548767
1990-10-04;310;315.2916666666667;27.2412;11.093150725699038;682.1326228327403
1990-10-05;310;51.51041666666667;4.4505;11.026544110447492;112.11581685223304
1990-10-06;310;202.68749999999997;17.512199999999996;10.960063093915686;443.8386858101623
1990-10-07;310;184.47916666666663;15.938999999999997;10.893717718158877;406.42690719071436
1990-10-08;310;125.30208333333331;10.826099999999999;10.827518299511693;277.7413915925335
1990-10-09;310;147.34375;12.7305;10.76147544562201;328.6027104618465
1990-10-10;310;126.26041666666666;10.9089;10.695600072315782;283.3174370312725
1990-10-11;310;176.57291666666663;15.255899999999997;10.62990342026871;398.6630764602821
1990-10-12;310;228.08333333333331;19.7064;10.564397071458197;518.1554577107946
1990-10-13;310;224.01041666666666;19.3545;10.499092965366204;512.0680441381803
1990-10-14;310;125.06249999999999;10.805399999999999;10.434003414900895;287.6652307505986
1990-10-15;310;148.78125;12.8547;10.369141122001768;344.36314039775215
1990-10-16;310;225.44791666666666;19.4787;10.304519192890133;525.0851494102981
1990-10-17;310;95.59374999999999;8.2593;10.240151152922978;224.04454443478824
1990-10-18;310;74.27083333333333;6.417;10.176050961005426;175.16618252311537
1990-10-19;310;197.89583333333334;17.0982;10.112233023512621;469.67865445313845
1990-10-20;310;117.63541666666666;10.1637;10.048712207668903;280.95639935288153
1990-10-21;310;160.76041666666669;13.889700000000001;9.985503854327586;386.3851094832721
1990-10-22;310;248.68749999999997;21.486599999999996;9.922623790091121;601.504211613891
1990-10-23;310;182.32291666666669;15.752700000000003;9.860088338707179;443.78405645945094
1990-10-24;310;199.81249999999997;17.263799999999996;9.797914331671914;489.44089912058826
1990-10-25;310;45.04166666666667;3.8916000000000004;9.736119117967757;111.02986589441397
1990-10-26;310;41.44791666666667;3.5811000000000006;9.674720572858565;102.81950703472192
1990-10-27;310;127.45833333333333;11.0124;9.613737105660936;318.1905190853143
1990-10-28;310;27.072916666666664;2.3391;9.55318766640617;68.01394703935829
1990-10-29;310;129.85416666666666;11.2194;9.493091751303432;328.29135982722323
1990-10-30;310;139.67708333333331;12.068099999999998;9.433469406910541;355.3570648720491
1990-10-31;310;110.92708333333331;9.584099999999998;9.374341232915246;283.9932891126569
1990-11-01;310;132.96875;11.4885;9.315728383426041;342.5658057696993
1990-11-02;310;90.80208333333331;7.845299999999998;9.257652566668636;235.39984724056265
1990-11-03;310;74.27083333333333;6.417;9.200136042981324;193.74713500675335
1990-11-04;310;108.53124999999999;9.377099999999999;9.143201620999822;284.8837975985885
1990-11-05;310;152.61458333333334;13.1859;9.086872651920817;403.0814715143778
1990-11-06;310;159.32291666666669;13.765500000000001;9.031173021731771;423.394612283353
1990-11-07;310;86.25;7.452;8.976127141294535;230.6117067434347
1990-11-08;310;86.48958333333331;7.472699999999998;8.921759934170272;232.66149451633336
1990-11-09;310;152.13541666666666;13.1445;8.868096822074893;411.72870270328275
1990-11-10;310;34.5;2.9808;8.815163707856264;93.92905536876967
1990-11-11;310;135.36458333333334;11.6955;8.762986955888211;370.7354599925578
1990-11-12;310;41.44791666666667;3.5811000000000006;8.71159336978111;114.18691825660758
1990-11-13;310;37.85416666666667;3.2706000000000004;8.661010167314897;104.89538546306257
1990-11-14;310;55.58333333333333;4.8024;8.611264952508378;154.91336143494442
1990-11-15;310;43.125;3.726;8.562385684747705;120.87752620670426
1990-11-16;310;23.479166666666668;2.0286;8.514400644908147;66.18199254424198
1990-11-17;310;38.09375;3.2913;8.46733839841595;107.97371700309458
1990-11-18;310;96.55208333333334;8.3421;8.421227755211856;275.16771513107045
1990-11-19;310;84.09375;7.2657;8.376097726594336;240.95349241115008
1990-11-20;310;38.8125;3.3534;8.331977478939162;111.7981898480359
1990-11-21;310;91.76041666666667;7.9281;8.288896284312278;265.68676027084814
1990-11-22;310;82.17708333333334;7.100100000000001;8.24688346801541;239.15094807015828
